01/05/2017,4:49,5:30,6:28,1:34,2:00,5:22,6:00,8:34,8:39,9:40,10:15,
02/05/2017,4:48,5:30,6:27,1:34,2:00,5:22,6:00,8:35,8:40,9:41,10:15,
03/05/2017,4:46,5:30,6:25,1:34,2:00,5:23,6:00,8:36,8:41,9:42,10:15,
04/05/2017,4:44,5:30,6:24,1:34,2:00,5:23,6:00,8:37,8:42,9:43,10:15,
05/05/2017,4:43,5:15,6:23,1:34,2:00,5:23,6:00,8:38,8:43,9:44,10:15,
06/05/2017,4:41,5:15,6:21,1:34,2:00,5:24,6:00,8:40,8:45,9:45,10:15,
07/05/2017,4:40,5:15,6:20,1:34,2:00,5:24,6:00,8:41,8:46,9:46,10:15,
08/05/2017,4:39,5:15,6:19,1:34,2:00,5:24,6:00,8:42,8:47,9:47,10:15,
09/05/2017,4:37,5:15,6:18,1:33,2:00,5:24,6:00,8:43,8:48,9:48,10:15,
10/05/2017,4:36,5:15,6:17,1:33,2:00,5:25,6:00,8:44,8:49,9:50,10:15,
11/05/2017,4:34,5:15,6:15,1:33,2:00,5:25,6:00,8:45,8:50,9:51,10:15,
12/05/2017,4:33,5:15,6:14,1:33,2:00,5:25,6:00,8:46,8:51,9:52,10:30,
13/05/2017,4:32,5:15,6:13,1:33,2:00,5:26,6:00,8:47,8:52,9:54,10:30,
14/05/2017,4:30,5:15,6:12,1:33,2:00,5:26,6:00,8:48,8:53,9:55,10:30,
15/05/2017,4:29,5:15,6:11,1:33,2:00,5:26,6:00,8:49,8:54,9:56,10:30,
16/05/2017,4:28,5:15,6:10,1:33,2:00,5:27,6:00,8:50,8:55,9:57,10:30,
17/05/2017,4:26,5:15,6:09,1:33,2:00,5:27,6:00,8:51,8:56,9:59,10:30,
18/05/2017,4:25,5:15,6:08,1:33,2:00,5:27,6:00,8:52,8:57,10:00,10:30,
19/05/2017,4:24,5:00,6:07,1:33,2:00,5:28,6:00,8:53,8:58,10:01,10:30,
20/05/2017,4:23,5:00,6:06,1:33,2:00,5:28,6:00,8:54,8:59,10:02,10:30,
21/05/2017,4:22,5:00,6:06,1:34,2:00,5:28,6:00,8:55,9:00,10:04,10:30,
22/05/2017,4:21,5:00,6:05,1:34,2:00,5:29,6:00,8:56,9:01,10:05,10:30,
23/05/2017,4:20,5:00,6:04,1:34,2:00,5:29,6:00,8:57,9:02,10:06,10:30,
24/05/2017,4:19,5:00,6:03,1:34,2:00,5:29,6:00,8:58,9:03,10:07,10:30,
25/05/2017,4:18,5:00,6:02,1:34,2:00,5:30,6:00,8:59,9:04,10:08,10:30,
26/05/2017,4:17,4:45,6:02,1:34,2:00,5:30,6:00,9:00,9:05,10:10,10:45,
27/05/2017,4:16,4:45,6:01,1:34,2:00,5:30,6:00,9:01,9:11,10:11,10:45,
28/05/2017,4:15,4:45,6:00,1:34,2:00,5:31,6:00,9:02,9:12,10:12,10:45,
29/05/2017,4:14,4:45,6:00,1:34,2:00,5:31,6:00,9:02,9:12,10:13,10:45,
30/05/2017,4:13,4:45,5:59,1:34,2:00,5:31,6:00,9:03,9:13,10:14,10:45,
31/05/2017,4:12,4:45,5:59,1:35,2:00,5:31,6:00,9:04,9:14,10:15,10:45,
